用户名,时间,评论内容
寻找世间美食,2018-06-24T23:13:09.806Z,没有想象中的完美，漂流时间太短，景区工作人员素质太低
cDM272509953,2018-06-24T09:31:48.176Z,漂流不错的，这个百草园就是骗人的，里面有停车场不让车进，坐观光车一个人10元单程，我们进来之后后面都有车进来，就是一个骗子，大家都不要来百草园！！！！！
w370471673,2018-06-23T05:54:25.346Z,值得推荐 和老婆一起去的 玩的很开心 是刺激
chy1992718,2018-06-23T04:40:35.761Z,专门多开三个小时过去的，很不错没有失望。价格也很便宜，就是太远啦……回来的时候整整开了10个小时的车，回到家累蒙圈了……
兔兔兔兔兔兔子牙,2018-06-22T09:49:27.239Z,实在不想再吐槽，就那么大点的地方还收景区门票，然后漂流另收费，里面其余的景点再另收费，那还要门口的所谓景区费用干嘛。其次，我们一行八个人，我定了四个人得票，就这两张有问题，一直出不来，售票处的工作人员说可以了，景区门口检票说有问题，后来又找售票处，等了十分钟左右，说可以了。我再三确认不会等我到漂流领取东西的时候再出问题，明确告诉我不会！！！结果，到漂流口再次出现问题，说我的票有问题，让我去景区门口，后来等了将近二十分钟，最终是进入了，但是这个过程太恶心了，如果景区的取票机有问题赶快修，出现问题的，麻烦直接联系负责人，而不是这个工作人员说我打个电话问问，那个工作人员说打电话问问，感谢漂流处检票口有一个工作人员说一直陪着我找人等结果，最后也是他下决定说没有问题，然后我才进去的，并没有等到所谓领导的结果。
KQJ245320912,2018-06-21T07:09:16.080Z,以后再也不来，没有什么好玩的，能玩的太单一，不值门票钱
匿名用户,2018-06-20T02:15:50.910Z,大家去的时候一定要提前联系景区确定漂流时间段！！！！！免得白跑一趟，我11.50订的票四小时后使用，下午四点到景区门口取票工作人员一声不吭，刚进门才被告知今天不能漂，说是停止了，让今天在景区住一晚，实在不想住可以走，说网络订票明天不一定能用。最后好说歹说说第二天可以漂，但票不可能退，幸亏及时联系美团全额退款，结果是第二天倾盆大雨也漂不成。所以再三告诫大家买票前确定漂流时间，这点在购买页面也没写清楚，希望以后加上。漂流还是挺有意思的，不过景区内服务很一般，就是想尽办法让你网络订票差的钱通过景区住宿补回来，还有有问题联系美团，那里工作人员解决问题太消极。
你是我的棉花糖,2018-06-19T15:24:28.101Z,特别坑，一直等到两点才进入，非常不方便
轩轩20111,2018-06-18T23:42:24.874Z,特别好玩儿，挺刺激的。过两个300米黑洞。超级刺激。沿途打水仗。多买些盆吧。我们的水枪老吃亏了。去之前一直担心太早，怕水会浅。漂起来会不刺激。现在看来是多虑了。漂到下游，沿着山路返回。一路上的风景也是很美的
EYr548219983,2018-06-18T10:02:26.505Z,环境可以，还行，下次再去，水质一般。
Y金摩,2018-06-17T05:45:39.752Z,下了高速  到景区很好走 自然风光很漂亮景区办理入园也很方便，自助机就可完成。景区内小商品物美价廉漂流的河道很刺激，途中会经过山洞气氛都很融洽，玩的很开心就是漂流的时候天气不是很好但也完全不影响游玩的心情值得一去得景区。
uHK652128971,2018-06-17T03:28:25.249Z,刺激风景也不错推荐你们去我已经是第三次带朋友去得
吃货张巧,2018-06-16T11:51:38.095Z,风景优美，十分凉快，适合夏天带孩子和家人朋友来玩
匿名用户,2018-06-15T23:52:02.414Z,挺好的，漂流很刺激，感觉……不虚此行
hbH718972945,2018-06-15T09:22:29.994Z,漂流很刺激 玩的很高兴。下次还会再去🏻🏻🤩
匿名用户,2018-06-14T10:05:45.640Z,很刺激，真的很好玩，到黑洞里面真是美透了
穆尔巴西,2018-06-14T07:49:36.049Z,等于188元只带漂流，什么景区门票，哪里来的景区，出来淋浴还另收费，不可能再有下次来了。门口小贩卖的水枪还没玩就坏了。
匿名用户,2018-06-13T15:10:02.035Z,很失望的一次经历……景区各种制度不完善。比如漂流下午4点半就下班了。没赶上的话只能等第二天了，如果是工作日 游客比较少的情况下，上午是不开漂流的……………………………………美团上游乐园上下班时间没有标注清楚，去了就是想让你当天玩不了（商家标注信息），然后住他们的度假村……如果只玩一天的话，就别来这儿了……漂流的水是水库蓄的水，特臭……挺好的一个地方，但是来过的人基本不回再来第二遍了……我包的车的司机就对我说，来这儿玩一次基本就不想再来玩第二次了…………………………………………………………………………………… 我真的是无力吐槽了，特别失望的一次经历，白白浪费我一张188的票……（主要还是景区想让人直接去景区门口买票，美团买票虽然很方便，但是这种景区我觉得就不要和他们合作了……问了一些当地人，基本上都对景区没有什么好感）来回路费也不便宜，建议跟团玩，或者把这个景区直接pass掉，去哪儿都比来这儿强……不相信你可以去试试看
海滨小城581,2018-06-13T14:08:41.750Z,天气好，空气好，来到这边心情好，停车方便，漂流很刺激，特别是三个山洞，玩完后也是意犹未尽的，美中不足是返程电瓶车价格有点贵30一人，冲澡也要收费。
Aqs633678759,2018-06-12T14:22:45.201Z,环境很不错，而且漂流特别的好玩，大家可以去玩玩
FYI593547030,2018-06-12T14:07:36.372Z,豫西大峡谷果然很给力，全程6公里很爽很刺激。
OTV785389592,2018-06-12T12:18:37.368Z,刚去觉得一般但是到12点之后人也多了河道里的水也多了，挺刺激的！
JtE137715265,2018-06-12T07:44:06.038Z,玩的很开心很刺激，下次一定还会再来嘻嘻
啾啾1234yy,2018-06-12T06:16:35.457Z,漂流很棒，百草园什么都没有不推荐去了
卫liu622,2018-06-11T15:06:24.590Z,漂流非常刺激、老公说值得！12点半左右才能漂流哦
WDI415559261,2018-06-11T03:23:57.329Z,环境好，空气清新，只去了漂流，好玩，值得一去
DQm338761524,2018-06-11T02:24:13.892Z,玩着不错，值得一玩，得劲完啦。
丸子童,2018-06-10T10:04:50.090Z,自驾去的 天气很给力 玩的很开心 以后夏天的必玩项目
匿名用户,2018-06-10T07:46:40.762Z,美美的，和老婆一起去的，还有百草原很多好看的花，给她拍了好多照片不过这几天去稍有些冷，不过出来就被晒干了，建议大家穿速干的衣服，穿着拖鞋来！当地人都特别好！大家漂流完别坐大巴车回去，因为全身都是湿的，会感冒的，可以顺着远路返回，很近的，一会就被晒干了！8月份还要来！
陈8985,2018-06-09T08:25:49.664Z,漂流还不错，我们去了之后就只漂流，也没逛逛，个人觉得门票跟漂流分开就好了
x496120853,2018-06-08T01:33:45.286Z,下雨天去的，空中索道……一般，挑战最后面的项目比较值得！而且票是重新买，不包含在门票内的
陶美拉,2018-06-04T04:36:16.063Z,很刺激的，很值得一去。比外地的都刺激
诺诺诺1115,2018-06-01T11:06:34.873Z,除非自己开车去，不然到景区门口都是个问题，没有什么可看的
xin070922,2018-05-26T11:30:45.730Z,比较偏，景点跟普通，没有特点，基本一块石头一个水坑就是一个景点，漂流没看见有人玩，水还比较脏，不推荐去
Txg189068627,2018-05-26T03:39:08.098Z,水有点脏。臭，价格有点贵。各种收费。
马娜娜。,2018-05-23T10:01:46.738Z,很好玩。和家人一起去的 。人多点更好玩
匿名用户,2018-05-22T12:35:22.197Z,大骗子太坑人了   游览车就送了一段路回来还要坐游览车太坑人了
匿名用户,2018-05-20T04:40:59.595Z,设施一般，服务一般，天然氧吧，徒步健身
A695406863,2018-05-16T05:39:38.532Z,设施完备，交通便利，环境优美，的确是休闲旅游的最佳之处。
匿名用户,2018-05-13T02:24:56.539Z,景区售票处人员服务态度比较好，就是美团售票客服服务态度不好，同时买了四张票，四个小时之内只出了一张票，其他三张没有出来，打客服电话客服解决不了，给了一个所谓的网络经理的电话，但是拨打两次是空号，在售票处白白等待四五十分钟，最后不得把剩下的三张票申请退款，浪费消费者的时间
匿名用户,2018-05-12T07:56:16.652Z,一家人自驾游过来玩，环境还不错，空气挺好的，就是景区里有好多小飞虫，水也不干净。
萱儿_er,2018-05-09T01:39:22.591Z,不错，感觉挺好玩的，景也很美，很赞
cKv126719406,2018-05-05T10:12:39.686Z,豫西大峡谷的漂流还是很给力的，友情提示多带衣服和鞋子
kYq744378377,2018-05-03T14:24:53.348Z,山青水秀，天然氧吧，激情漂流，欢乐无限
Mke636483472,2018-05-03T00:40:46.282Z,环境很好，漂流因为太迟，赶时间没漂，但看起来不错，周围的农舍卫生也不错，价格便宜。
匿名用户,2018-05-01T23:45:28.288Z,还可以，漂流看着不错，适合漂流，不适合爬山，有点短，   风景还好，四大人带两孩子  ，一个三岁     全程孩子都基本自己走的，      ，，，，，强烈建议，要去就去漂流。
Vqw863287878,2018-05-01T14:42:31.268Z,跟家人一起去的，那里环境真的很美，让人流连忘返，两个孩子玩的很开心，回来后孩子还闹着要去玩儿呢，有机会会再去的！
嗨你好吃货,2018-05-01T12:07:31.972Z,配套施舍一般  没有什么景点    瀑布感觉一般   就有一个漂流还可以  百草园什么都没有开还在建设中
ZZ,2018-05-01T03:37:28.626Z,设施跟齐全，景点很多，特别是山中腰的那个大瀑布，是整个景区最大的亮点，漂流的话看起来很不错的，会经过很多山洞，但是这次去的时候天气稍微有点凉，虽然已经开放，但还是没有体验，下次天气暖和一点，一定再去体验一次，真正的漂流！
RVJ342160850,2018-05-01T00:20:04.422Z,百草园很不错，大峡谷也很棒。因为这次去带着老人和小孩就没有漂流，光看别人漂都很嗨，下次去一定要漂一次！
匿名用户,2018-04-30T13:49:16.538Z,还行【环境】【交通】【项目】【餐饮】
uDv472688365,2018-04-30T12:02:02.608Z,景区有些破败，台阶多且陡，一般般
dZy684402178,2018-04-30T06:21:15.661Z,这个景区太坑了，自己开车去车坏半路了，给景区da了100多个电话都没人接，让商家给调换个票都不调，还4A景区，***垃圾，连1A都不算
匿名用户,2018-03-05T12:15:23.599Z,一般吧，还凑合，去的时候下雨，回来全身湿透，而且那水臭臭的
blP800917759,2018-01-31T22:00:42.251Z,啥都要钱不建议去也就漂流可以玩
yRv248485459,2018-01-29T13:19:51.132Z,一般吧，景色不错就是有待开发，不值得单独跑一趟
knA780353825,2018-01-27T10:39:27.222Z,可以上次孩子太小没能票，等来年再去
iwK555510191,2018-01-10T02:32:12.731Z,还不错，第一次去，总体还是很开心的！
匿名用户,2018-01-05T04:31:41.959Z,环境很好，漂流不错，开车去的，停车场很大，整体感觉不错
独断成殇,2017-12-27T02:25:21.880Z,交通太不方便了，里面路标还有点混乱，
失心疯的二百五,2017-12-15T11:50:17.847Z,超级好玩，刺激，希望下次再去玩
CCp262957550,2017-11-30T13:18:45.168Z,很不错的景区，景色很美，漂流河道不错，值得来玩。
Kwz355652863,2017-11-28T15:03:05.203Z,漂流好玩，就是人太多了，还会再去
妙手居,2017-11-11T12:36:41.146Z,自驾游，一家三口去的。正是假期，人很多，很尽兴！
匿名用户,2017-10-13T04:38:24.133Z,漂流很刺激，第二次去了，设施还不错
匿名用户,2017-10-08T13:58:05.658Z,景色挺漂亮的，适合夏季漂流，可以停车，还不错，带着老年人和小孩可以多走走。
yxl50800,2017-10-08T13:22:18.281Z,漂流应该很刺激，景区自然景色还是很多的
vHw794434451,2017-10-06T13:53:05.719Z,八年前来过这里，现在还不剩以前，景区这几年没开发吗？什么都没有，很多东西都不开放，没意思！
万科朴邻,2017-10-04T07:10:10.565Z,票价有点贵，还不含坐车的钱，别的都还可以
尔康尔康尔康,2017-10-02T00:09:24.050Z,路好走，必须4小时之前买……到那里还等了一会 儿，如果两次了，很好玩，很刺激，下次还去，地方好找
匿名用户,2017-09-28T03:22:02.854Z,很刺激，很好玩，可以打水仗，哈哈
女女0325,2017-09-24T09:51:52.793Z,玩得特别开心，环境真的很赞，漂流很刺激，漂的时间也很长，下次还要来玩。
Z小狐狸、,2017-09-19T08:32:09.831Z,我们玩的时候天气挺好的，玩完刚到山下。。就下了大雨。。景色也是美不胜收呐。。漂了一个多小时，就有几处是比较刺激，其他就平平静静，人多划得时候有点拥堵。。不过还可以吧。
nDZ602019019,2017-09-17T04:42:36.623Z,不是很满意，自我感觉漂流价钱贵了点，然后救生衣很脏，很湿，穿到身上跟不舒服，但是风景不错，回来的时候没有坐车，很热，建议回来坐车。
个人美团,2017-09-13T05:59:16.936Z,漂流的地方 环境都挺好就是漂流时间不够长
匿名用户,2017-09-12T14:28:00.005Z,夏天避暑胜地！很不错，人多可以去玩。
uvz852717380,2017-09-10T02:11:17.564Z,还不错，玩的挺美，有机会还会去的
HDU758317849,2017-09-07T03:35:21.834Z,设施有点陈旧了，救生衣湿漉漉的还不干净。环境很好。
CfN151372462,2017-09-02T05:30:13.561Z,下雨参与，非常刺激，很有意思，风景也很好
寡人不萌,2017-08-27T06:18:08.832Z,我们是学生穷游，没有车，过去的交通身不方便没有直达景区门口的车。除此之外玩的还是很开森的，但是漂流去的救生衣真的有好多好多都很脏，希望景区能改善一下。
匿名用户,2017-08-26T12:28:11.999Z,帮朋友买的，景区设施不错，说去的时候赶上下雨，漂完时没带钱买景区内小交通的票，还发生点小故事
guoqiang672601,2017-08-25T10:12:57.457Z,连着去了三年，真的很爽、刺激。明年还去，打水仗要人多热闹！
美豆豆爱上了花花,2017-08-25T05:15:08.940Z,和男朋友，闺密一起去的，先顺路游玩了一下景区，又坐旅游大巴回到起点，当时11点多，旅游大巴售票处没有人，好几个人服务电话才有大巴下来，回去急忙吃了凉皮10块，又咸又辣，没吃几口，因为漂流要存东西，完了还要冲淡，折合费用我们订了钟点房，50还可以，漂流很刺激，去了不漂流就不好玩了
HUM771712202,2017-08-23T12:17:01.254Z,景点还不错，瀑布连着瀑布，漂流时感觉很棒！不过救生衣都是湿的，刚刚穿在身上有点不适应，漂流前准备一件雨衣比较合适！
匿名用户,2017-08-23T04:18:09.373Z,设施还可以 特别好玩儿 夏日里的好去处 特别刺激 安全也有保障
匿名用户,2017-08-22T04:33:43.400Z,给老爸老妈团的，总体评价很好，只是价格偏贵了
Jing54640,2017-08-20T14:51:11.659Z,真心不错，我们5个人去的，就是车不多，自驾不错。
叽哩咕噜小静,2017-08-20T10:28:22.424Z,怎么说呢，去漂流还得买景区门票，美团210停车明明是5块说白天10块，洗澡收费10元，漂流完了15分钟的车收费30，收费高，漂流只有1个多小时，很惊险刺激吧，去过最好的漂流还是尧山大峡谷吧，只有停车收费其他都免费。。
ODv772271730,2017-08-19T15:39:47.703Z,挺好玩的，孩子说下次还去漂流的，就是回来说鹅卵石垫的屁股疼，其他都挺好。
匿名用户,2017-08-19T07:53:54.863Z,性价比不高，名气挺大，实际情况一般吧。
山楂茶冻,2017-08-19T05:49:09.085Z,基础设施不到位 人比较多 漂流还是可以的
iTb997735554,2017-08-18T09:46:18.496Z,怎么说呢！环境还是不错的，玩的不太累，主要是漂流，其他壮观景象少！
烦暴躁,2017-08-18T09:38:31.590Z,就是。这种天气刚好。水稍微会有点儿冷。漂了最后一波。玩儿的很开心。就是划船太累。
Baobao306,2017-08-17T14:03:27.019Z,漂的过程挺不错、就是到终点后返回起点太坑了……车难等车费贵，走路好累……
LPM728230900,2017-08-17T09:00:07.275Z,漂流很刺激，如果漂流结束，回来走路的话要注意走错路
狐聆灵,2017-08-17T04:06:25.890Z,说实话景区里面不咋着，唯一的就是漂流确实好玩，比较刺激。不过漂到终点后每个人还的掏30块钱坐车上去，也可以选择走路到起点，这个有点坑，太贵，还有就是漂流后没有免费冲澡的地方。只能说还行，跟这个门票价位不成正比。
jYX520052331,2017-08-16T08:19:00.519Z,漂流的水太浅了！不是搁浅就是碰水底的石头，把自己的脚弄得生疼！只能说是太一般了！另外，漂流完了冲凉还要另付十元钱，200元的门票冲冲身上能用多少你家水？真不敢恭维！30元返程小交通车里那叫一个臭味熏天！不会再去，也不推荐！
yAD487168003,2017-08-15T03:59:02.819Z,服务态度很差，景区旅游还可以...
乐乐开开,2017-08-15T02:40:06.092Z,景区里到处都是坑，大家千万别去
过往iiiiii,2017-08-14T14:52:58.581Z,总之就那样，既然玩了就不说啥了，反正没有预期的好
艺love,2017-08-14T12:16:55.811Z,挺不错，去的那天天气不热，玩的挺美，还有两个黑洞，挺刺激，推荐……
eHs320836135,2017-08-14T07:05:49.795Z,刺激是挺刺激的，水不太干净，有隐藏消费，以为有车接送，没想到还有掏钱，坐车不到十分钟30块钱，这个也不提前说明，游玩尽量别带小孩，漂的时候水很急，小孩手臂没有劲，和朋友一起玩，她屁股摔的疼，屁股青了几天
tolining,2017-08-14T03:07:49.544Z,太棒了，孩子玩的超级尽兴！6
各种掉链子。,2017-08-13T10:51:54.795Z,很好玩，还会再去的，地方也挺好找的，服务态度也不错，值得一去哦
妞妞3605,2017-08-13T10:12:32.109Z,风景挺不错，漂流好玩刺激就是有些贵，玩完坐大巴返回还得30太坑，景区里面什么东西都贵桶装方便面都10，终止除了干啥收费贵其他玩的还不错
uGE915433365,2017-08-13T06:59:33.438Z,环境优美，风景如画，住宿方便，民风朴实！
南一6818,2017-08-12T04:07:40.342Z,水太脏了！真的脏的受不了！漂流回来一身伤，10点多到那才知道12点半才开始漂！漂流完回来不到十分钟的车程一张车票30，感觉太坑了！
QGv673480437,2017-08-11T10:34:24.465Z,还可以吧，没有去玩漂流，感觉就不好玩
匿名用户,2017-08-11T02:49:43.547Z,服务态度差，救生衣太脏了发霉了，而且还是湿的！总体太乱！
juX373544753,2017-08-10T00:40:32.629Z,还可以吧！第一次去的时候感觉特别好玩，这一次去感觉不惊险刺激了。门票稍微有点贵。
MiN973741531,2017-08-09T23:26:40.612Z,救生衣有些脏，漂流很好玩很爽，尤其是三个山洞。不错。
匿名用户,2017-08-09T04:32:51.325Z,漂流挺好玩，景区没意思。适合一大群人去。
狗蛋的老汉,2017-08-08T10:28:34.088Z,略贵，其实玩的挺美的，下了高速十公里就到了。
yrF397131932,2017-08-06T08:50:50.109Z,很好玩，刺激！值得来，美中不足服务人员态度差。
匿名用户,2017-08-06T02:53:36.128Z,真心垃圾，售票窗口服务不好！不会再来了
Weo925495707,2017-08-06T02:41:28.171Z,水很脏窗口卖票的服务态度很一般
韩钢蛋,2017-08-06T01:01:00.086Z,人不少，漂流全程一个小时左右，回程的中巴车票价30有点贵
匿名用户,2017-08-05T11:41:08.399Z,还不错，进去的早。人还不算多。水不算很大，刺激度低点。漂流完走回来半小时就回来了
好吃不贵2233,2017-08-05T09:24:55.603Z,玩的相当开心值回票价，大家可以放心购票去玩
匿名用户,2017-08-05T06:07:07.929Z,景点只有一个漂流可以玩，还要单独收门票和漂流的费用，景点多次消费:门票210元，停车也要收费，漂流完洗澡也要收费，存放衣服也要收费，漂流回程的公交车也要再次收费，总共漂流40来分钟，感觉这个景点真坑人啊!服务态度也不好，水也脏，不建议购买，感觉被坑的厉害，河南这里其他景点比这个好的多
sy阿民,2017-08-04T06:24:59.067Z,谈不上风景，游览车收费每次10元只坐四分钟至六分钟不等，景区内导向标识不全也让人看不明白，只看到一个瀑布，水流很小，门票特贵，还不如去免费的人民公园
YOYA1019,2017-08-04T06:16:24.920Z,漂流挺刺激的、玩的很不错还凉快
sg229229,2017-08-04T05:34:09.428Z,好玩，还是这里的漂流刺激。尤其黑洞子
丫头双儿,2017-08-03T04:33:10.184Z,服务还好吧，环境挺不错的，关键是漂流时间够长，不算划船时间，单单漂流，都漂了一个小时。水流有缓慢的也有激流，总之挺棒的
匿名用户,2017-08-02T12:21:12.445Z,水太小 搁浅一路 建议老人孩子玩儿
遗落的范蠡,2017-07-30T07:41:57.430Z,其实玩起来还是挺刺激的，就是感觉性价比不高，全程漂流估计在40分钟左右，门票漂流210，手机套5元，水枪15，柜子10块，洗澡10块，漂流结束回售票处估计10-15分钟车程30元！
LSN431339018,2017-07-30T05:47:52.272Z,好玩，开心，就是吃饭太贵，漂流超级刺激
大行吉号,2017-07-29T09:52:53.360Z,我感觉比其他的漂流好玩，有刺激
IHX226614268,2017-07-28T09:55:41.797Z,玩起来的话还行！就是有点坑 我在美团上定了票了 我们三个大人三个学生定的双人票 谁知道去了学生半价 又重新买的票 说是美团可以退的 都没说明白 结果只退了一张票算下来还不去用成人票！美团上订一定要看好门票➕漂流168都可以团到。到现场的话漂流就168门票60美团上可能划算些 另外就是漂流回来坐的车都应该是免费的 这里是30一个人 是不是有点坑。重度沟的话 漂流有专车接的很方便！
judge23,2017-07-26T14:00:15.284Z,进出都不方便，自驾游跑去还要停车费，漂流还要先买进景区的门票，除了贵就是差，闹心
UFg908913998,2017-07-25T10:08:55.972Z,挺好玩的。三个山洞比较刺激。沿途也有有很多瀑布群，唯一不足的是有些地方水浅，搁浅了几次。玩完之后爬了999台阶，真心累！其实有另一个小道风景比较好，也近一些。出了景区在峡谷人家吃了个饭，味道还不错
bFl6,2017-07-25T07:33:08.308Z,这个地方不是很好，原因有三个，首先这里主要是漂流，但是水不干净。其次，票价贵，门票加漂流每人210元。最后，整个景区没有景。
LWX834136626,2017-07-25T02:11:45.211Z,漂流不错   就是价位有点偏高  大巴收费也不合理
匿名用户,2017-07-25T00:24:25.170Z,很美，带着老公和孩子一起去的，很开心
bfF125693591,2017-07-24T22:35:46.349Z,都没有使用，有重新买了三张门票为什么不能退款。
王杰1234567890a,2017-07-24T14:47:34.572Z,挺好玩的  就是再去得多找几个人一起去
Zuy271785974,2017-07-24T14:27:45.581Z,不错，挺好玩，有三个洞，很剌激，洞里啥也看不到。
ktR947834605,2017-07-24T05:54:32.544Z,还行吧，挺刺激的，很好玩的地方
WNG272326778,2017-07-24T02:19:18.925Z,破地方，一点都不好玩，服务太差了！！最烂的漂流！！
yuanjianfeng888,2017-07-23T10:42:30.813Z,漂流很刺激好玩，就是景点少，一个半小时漂流完后，没其他玩的。门票和景区中巴票价偏贵，漂流完没10分钟路程票价30元，孩子5岁不让漂流也没其他玩的，在河边玩玩水，总觉得意犹未尽，很早就打道回府了，再加点别的刺激项目和表演就更好了。
小艾🐳,2017-07-23T09:55:51.605Z,玩的不错，美中不足洗不成澡，非得有会员卡才行
zhang一直等待,2017-07-22T08:22:28.204Z,漂流不错不错，就是时间有点短，已经第三次去了
qmC258114703,2017-07-21T09:18:56.737Z,最糟糕的一次漂流体验，刚开始的时候因为系统问题，在美团购买的门票和漂流票不能兑换，后来经过沟通，还是解决了这个问题，接下来漂流的时候玩得还算开心，但是接下来就到了最糟心的阶段，接送游客回漂流起点的车额外收费了30元，然后洗澡又收费了10元，这本来就是漂流的配套服务，你们竟然在这些上面还要收费，这是想钱想疯了吗，我不会再来第二次了！
明月.283,2017-07-21T02:13:38.109Z,出洞的滑梯太颠了，屁股差点开花，可能是漂流多了，觉得还好，第一次漂这个可能觉的刺激
wazgass,2017-07-20T22:55:04.296Z,玩着挺好玩的，景区景色一般。必须门票和漂流一起，俩个月点贵。
匿名用户,2017-07-20T06:00:42.006Z,每个女工作人员服务态度不好，总感觉跟欠了他们钱似的，都是拉着脸，门口那几个小男孩服务不错！
Durex丶Yes,2017-07-20T03:29:45.338Z,据说是省内最好玩的一条线，感觉还不错，还会再来。
棉草糖,2017-07-19T06:49:26.531Z,我是从灵宝出发的，包了个出租车送到景区门口100元，如果自己坐班车的话到卢氏下车，坐包车50元可以到达景区门口，但是车不好找。到那10点多，11点30才开始放水，然后可以去窗口换漂流票。每个人60元押金，必须现金，然后给一个手环可以用来消费，柜子使用是10原，淋浴10元。快12点开始漂流，刚开始在一个大的湖面，很兴奋，不会划，划一会就会了，漂流大概有一个多小时吧，到下游以后，可以选择坐景区的车10元到售票处，也可以自己步行走回去，建议步行，不远，还可以欣赏沿路的风景，总之还不错，有一点需要注意的是美团上的票需要提前4个小时团。还不错，感觉漂流要价稍微高了点
匿名用户,2017-07-19T03:49:31.651Z,非常不错，强力推荐。下次还去，玩时一定要带水枪或水盆
玲纳贝尔,2017-07-18T13:01:08.656Z,服务态度挺好  设施也挺好 环境可以
vwH611055411,2017-07-18T04:22:47.860Z,果然没有失望，漂流特别过瘾，过两天再去一次
且念切惜,2017-07-16T02:44:12.390Z,去的内天到景区刚好下大雨，不过淋着雨漂流挺爽的，天也不热，和媳妇玩美了，漂流挺刺激的，就是感觉管理好乱，收费混乱，不过玩的挺开心的
ULq705391045,2017-07-14T04:47:46.345Z,真心不咋滴！指示指引做的不够，服务人员太少！办理漂流办理了一个小时才办好。
MOD227698923,2017-07-13T09:37:55.542Z,还不错，就是交押金的时候排队等太久，其他都还挺不错的
匿名用户,2017-07-11T22:26:00.236Z,喜欢漂流的可以去，水道挺长电器，朋友很喜欢
bycy～,2017-07-10T15:10:11.981Z,还好吧，就是感觉太不划算了，漂的时间不长，还有一定的额外费用，总之感觉比别的地方都要贵好多。
wFo395769188,2017-07-10T01:20:17.575Z,漂流水比较干净，毕比三门峡的好玩多了，停车也方便
大保镖x,2017-07-09T15:35:56.406Z,地方那是相当不错，就是带着孩子太小，没有漂流成，遗憾啊。下次继续去
不能熬夜一,2017-07-09T09:06:26.172Z,哎，不好，真是坑爹呀，贵死了不说还不好玩，还不安全！
UAU120056285,2017-07-08T06:59:16.849Z,大概评价一下吧，买的周末票，210一位，自驾游。（包含景区加漂流）首先大家都是我冲着漂流去的，漂流2-3人一个船，4个不行，更没有6人船，景区门口换景区票，工作人员会给你一张收据然后加五元是停车费，进了之后到漂流大厅换漂流票（收据换）别忘记拿，换票的时候每人另加60元包含（返程30，走路半小时就回来了不建议消费，10元洗澡，10元柜子钱）漂流就三个暗流，其余都是卡卡卡，一路卡过来的，总结，不刺激，太短，基本上都是在一起泼水，人少不建议去，如果可以没星，我不会给一星。（漂流换票退票超慢）
承阳8,2017-07-06T21:38:53.025Z,漂流很开心，不是周末去的人也不是太多，漂流河道有缓有急挺刺激的，值得拥有一去！
一个W,2017-07-06T03:52:53.427Z,漂流售票处交押金都比较繁琐，速度太慢，尤其是退押金
nio223130715,2017-07-05T11:46:47.642Z,这个漂流一点都不刺激，和朋友一起去的，一路漂下来只有两三个刺激点，洗澡更衣室都要收费，漂流完还要收30元一个人的车费才能回来，不然就走回来，私家车还不能开进去，处处都收费，景区门票还收了60，里面也没有值得旅游的旅游景点，坑爹  差评
z9426784,2017-07-03T08:58:41.367Z,漂流还行，但是景区景色并不觉得有什么特点，而且假货横行
BiuBiu~,2017-07-01T00:37:21.079Z,这不错，惊险刺激不过漂完了有点儿晚，洗澡的都关门了
匿名用户,2017-06-30T12:06:07.667Z,比到景区买票划算，还是比较刺激的。
EKq197175479,2017-06-29T08:02:07.537Z,太刺激了，超好玩，就是里面柜子还有沐浴要另收费有点不合理
upU18295993335,2017-06-28T10:14:00.422Z,非常好玩的一个地方，就是美团订购需提前4小时订购！
qzv203367684,2017-06-28T01:27:57.943Z,设备很好，水质也很不错，工作人员服务热情，下次还会再来的。
元宝桐桐桐,2017-06-26T13:04:12.311Z,景色不错，尤其是漂流特别好玩，和朋友一起去的特别开心😄
匿名用户,2017-06-26T02:37:45.635Z,周五去的人不是很多，玩的不够尽兴！漂流路线挺有特色，临时和其他的游客打的水仗，大家玩的都挺开心！
DaL342405615,2017-06-24T15:22:36.679Z,挺好的，挺刺激的，玩的很开心！
Yqc706709959,2017-06-22T09:20:23.104Z,性价比高，真心不错，很刺激，爽啊！
jxI250805231,2017-06-21T09:21:04.284Z,风景不错，漂流的过程很刺激，全程大概一个小时左右，玩的挺好的也不累，就是价格相对其他地方漂流有点小贵，洗澡，坐车，存包都要另外收费，这点有点不太合理，其他还行。
PXL801559341,2017-06-17T04:31:17.025Z,价格太高了，实际漂流时间是一个小时，没有网上说的那么长时间
匿名用户,2017-06-12T11:52:44.459Z,我们都会有些不是我 便是你，我的人都有一个人的时候我就不想再去
匿名用户,2017-06-11T09:49:07.962Z,环境不错，好玩，年年夏天都去，美团订票很方便。
dongwei910513,2017-06-04T10:48:04.814Z,挺不错的一次漂流，去的时候天气不好，有点冷
VIg538804183,2017-05-30T04:43:32.086Z,景区不错，已经来了好几次了，每年五月到十月是最好的旅游时间！
uyi241703798,2017-05-26T10:55:13.369Z,还不错，就是除了漂流，其他的就比较单一了
dSP814323208,2017-05-18T08:29:08.840Z,还可以吧，人不多，消费也还可以😄
cVo268953101,2017-05-17T05:42:43.954Z,还可以吧，就是路线走错了，漂流还行，别的就那样
iYd783881988,2017-05-02T03:07:41.577Z,环境优美，空气清新，一次不错的旅行
