用户名,时间,评论内容
匿名用户,2016/8/6,非常好玩，很刺激，弯道很多，相对安全。希望下次再来
bCm379246634,2016/8/5,景区配套设施完善，惊险刺激，是一个不错的天然氧吧。
匿名用户,2016/8/5,团购验证很方便，性价比蛮高的。
蜗牛快点飞。,2016/8/5,玩着比较刺激，也不用去太早，12点前到就行，值得一玩！
梦燕88,2016/8/7,平流还是有点小贵，啥都要钱冲澡还要收钱
VJk799663833,2016/7/8,很好，刺激，下次还去…都没玩尽兴
caomeiniang99,2016/7/19,设施不错，环境挺好，开始有点害怕，玩后觉得还好......
hbF351111809,2016/8/1,"漂流刺激好玩,水仗打得过瘾。确实是个不错的玩处。只是门票有点小贵。"
qcbljj,2016/8/6,昨天去的，刚下过雨，水很大，玩的挺好，下次还去。
欣然6940,2016/8/6,那边环境也好，玩的也挺好的、下次还要再去一次
匿名用户,2016/7/26,太好玩啦！先在湖面玩耍 玩够了就可以去漂啦 漂流时间还蛮长的 意犹未尽呀 以后还想再来玩 再长一些就好啦哈哈哈
八格牙路v587,2016/8/4,感觉水没有以前大，好多地方都能明显感觉到石头
米其林餐厅的吃货,2016/7/28,设施服务都挺好，我们来的时候一路下雨，漂流时候雨停了，太美了了，带领，刺激！
G775193697,2016/8/5,风景不错，漂流还很刺激不错！还想在玩一次。
你大明哥123,2016/8/3,漂流很刺激，时间也够长，挺不错的
zKa470413457,2016/7/28,比较刺激，留个经验，要买水枪🔫或水瓢，不然会被虐的很惨，注意防晒和晒后修复
匿名用户,2016/7/27,我在西安。每年豫西我都去。主要是玩漂流。我舍近求远就是因为豫西的漂流爽。强烈推荐大家去玩
lovejing0714,2016/8/2,非常好玩儿 尤其是几个山洞太刺激了
简牍行,2016/7/20,玩儿挺开心 就是票价挺高 尔且漂亮和门票是捆绑销售的 干脆订一个价好了 好像一看是分开的 其实不是 有被骗的感觉
Nuskin雪琪,2016/7/24,服务很好…就是换票太麻烦…散客…VIP散客没弄懂…到窗口说排错队了…就这个很是不好…其他给满分
匿名用户,2016/5/2,"我们是自己开车去的，就是第一次去地方有点不好找。到大门口了之后，半天找不到买票的地方，很好玩，也很刺激。建议大家一起组团去玩，多带几个人，去的时候最好提前就把饭 <span class=""feedbackmore"">吃了，景区里的饭确实不怎么样，工作人员很热情。 <i class=""text-icon icon-toggle-arrow"">"
lovejing0714,2016/8/2,非常好玩 尤其是几个山洞太刺激了
能吃的33,2016/8/2,人很多，整体不是很刺激，好玩程度一般吧
米其林餐厅的吃货,2016/7/28,飘着确实不错，赛道绝对刺激！！！就是三个人坐一条船有点失败
路路通你俩,2016/8/1,网络订票窗口都没有我日，，乱死了
小七8467,2016/8/5,人很多，排队拥挤，漂流不够尽兴。
燕双飞719818,2016/8/5,不错，玩的很开心，很刺激，快玩疯了。
sbv251470231,2016/8/2,但也不太好吃，很小呢！爱，协会太大了，留在厂了。
VvM321678533,2016/7/31,激情刺激，比以前玩的漂流都爽，可能是水比较大的原因
ATU748427182,2016/8/4,水不太干净，漂完还要自己走回来
miss.shuai,2016/8/1,设施还行，就是水太浅，服务态度也不行
aHz559129932,2016/8/2,不说清楚在美团和当地是两个情况更无语
sPd887176358,2016/8/2,体验不是很好，这也叫大峡谷，漂流太假了
lbw986095328,2016/7/29,可以，拿票速度还可以，就是要停车费，也不告知，费用都有啥保障项目，
YW7791,2016/7/30,还不错哦 早上十一点开始玩 水温有点凉
bCm379246634,2016/8/2,玩的非常开心，真刺激，值得一去。
YW7791,2016/7/30,不错哦 有机会大家可以去感受下
Szx0926,2016/8/2,爽快，绝对让你玩到嗨。。。。。
匿名用户,2016/7/8,很刺激，爽，明年还会去，比以前多加了两个道，应该在长一点
匿名用户,2016/8/1,很好玩，很刺激还没玩够，下次再来
dGJ87228137,2016/8/1,不错不错，服务很好！效率也很高
冷水ccx111,2016/7/26,精彩、刺激、漂的很过瘾、不足的是景区吃饭难吃还坑。
没有名字,2016/7/26,很好玩，孩子们特别喜欢，就是离我家有点远了
morunfeng,2016/7/27,超爽，绝对值得一去。漂流中的王者！
匿名用户,2016/7/11,去的时候天气不热，人不多，还可以
jCg221868792,2016/7/27,玩的太刺激了，我们都好开心，有时间继续去
jCg221868792,2016/7/27,玩的太刺激了，我们都好开心，有时间继续去
jCg221868792,2016/7/27,玩的太刺激了，我们都好开心，有时间继续去
jCg221868792,2016/7/27,玩的太刺激了，我们都好开心，有时间继续去
解小金,2016/7/25,挺好得，以后去带个水勺，玩的更尽性
青竹2214,2016/7/18,今年的服务人员没有以前那么和善了，但是硬件设施没变，挺好的，今年去还多了个停车费，，以前都没有的
Xqt642056683,2016/7/28,很不错，刺激，第一次玩！我！我是！？？！！？？
闲人一枚发霉,2016/7/19,河道比较刺激，有暗河，跟其他的漂流河道不太一样，就是河道太短了，基本上一个半小时就漂完了
朝洒洒,2016/7/26,环境可以，服务态度不好，漂流也不爽
GvX232692234,2016/7/22,还好，一般般吧。没多大感觉，不过玩着还是可以的。
kMo894293074,2016/7/26,真心不错，天下漂流爽在豫西，真刺激
匿名用户,2016/7/22,漂流很刺激，很好玩。去的时候有点热，没怎么转景区。
njswdwy00,2016/7/25,团的票很方便，不错的体验，强烈推荐
CZe360404596,2016/7/17,设施不错，服务也比较到位，漂流的地方设计较好，值得大家前去体验！
jCg221868792,2016/7/26,服务很好，很刺激很好玩，不错不错
KgC856581629,2016/7/18,漂流超级爽，可美，环境不错，全程都有安全员，很爽，刺激，去吧大伙们
ccheva,2016/7/18,非常好玩儿，就是有点贵，不过物有所值
匿名用户,2016/7/22,环境好，漂流很不错，建议去看看，农家乐也很好！
aAr335312127,2016/5/2,还好，主要是漂流不错，如果不漂流 建议大家去新安县 龙潭大峡谷，比这儿风景美。
leO855033588,2016/7/21,比直接买票便宜好多！ 值得去漂一次棒棒哒
uyO354187435,2016/7/21,服务好！出票快！最最主要是便宜！
uyO354187435,2016/7/21,出票快！服务好！最最主要是便宜
wTO586934887,2016/7/18,我们是周一去的，玩的人依然很多，环境不错，是夏天游玩不错的选择！
aimeishi133,2016/7/11,去的时候天气挺好，阴天，不晒，水也不凉。票价有点贵。不划算。以后应该不会再去了！
匿名用户,2016/7/19,设施不错，环境挺好，开始有点害怕，玩后觉得还好......
lh780726,2016/7/7,环境很好，是放松的最好去处，漂流很惊险我是带着狗狗一起冒险的，我家狗狗很乖，也听话一路漂下来都不动，总之很开心😃！
QQk283741715,2016/7/4,设施不错，风景优美，漂流刺激，我们住的是45号农家，环境不错干净卫生，最主要的是饭菜味道超好吃，住宿费还便宜
HHHHH,2016/7/16,第一次过来玩。很刺激 就是附近饭店特别坑
zzmengyan,2016/7/18,漂流真心不错！建议漂完顺溪步行回去，不要坐车。
wlu179539565,2016/7/16,挺好的，推荐去游玩，景区返程票太贵
aimeishi133,2016/7/11,门票挺贵，里面啥都没有。以后应该不会再去了！服务态度不好！
Memory乾,2016/7/18,没有传说中那么完美 凑合把
Qoc907783787,2016/7/20,设施很齐全，也很安全，很好玩，
wlu179539565,2016/7/15,挺刺激的，就是返程的车票，一人30太贵了
zdh19821020,2016/7/12,挺好的，我们没有漂流，但是玩着还不错，人也不算太多！
LDp155441114,2016/7/11,景点位置太偏.不好找到.漂流太贵.好多人消费不起.农家乐吃饭太贵.不是一般地贵
龙域山庄,2016/7/12,漂流很刺激。一家人玩的很开心。以后还会再来
紫色jolily最美,2016/6/30,连续去了两年了，第一次去感觉还没玩尽兴就到终点了，第二年抵挡不住又去了一次，希望今年可以来点新颖的地方，期待再去～
麽凡,2016/6/2,景区不用说，自己的家乡我还是热爱的！服务态度我也只是对售票处超级不满！毕竟游客第一接触的是这里！没有服务意识，工作人员相当死板！但是这里的漂流绝对一次玩不过瘾，过几天天气好还带老婆去！
匿名用户,2016/7/16,服务很好，安全员下水救人很迅速，大赞👍
_qqzd61439718540,2016/7/10,整体效果不错，我已经带朋友去过三次了，但是还有方面有待改进，
丢萨,2016/7/15,挺好玩的 挺刺激的 尤其是过山洞的时候超级好玩
Kno153270767,2016/7/15,不错，下次还去，朋友多还是挺不错的！！！
简单是、幸福719,2016/7/11,非常不错，跟同事去的！比预想的好很多哦
Vrd346464561,2016/7/14,订票方便 不用排队 省钱 省时间
我心飞翔yxb,2016/6/21,漂流设施齐全，安全放心。漂流很刺激，建议几个人组团去，会玩儿的更嗨！就是票价稍贵了点儿。
芦娃,2016/7/8,挺好的，隧道 挺刺激的，下次有机会还会去的
simoony,2016/4/3,这时候来的有点早，人气不是很高，主要是漂流，从东门进来的，转着才发现之前来漂流的地方，设施还行，服务一般，风景不错，空气好，虽然有点冷
美食评价官,2016/7/6,还行吧。漂流真的是很舒服！下次还来。就是有点贵了！
OEB749491582,2016/7/8,强烈推荐，超级刺激，值得一去。
OEB749491582,2016/7/8,强烈推荐，超级刺激，值得一去。
OEB749491582,2016/7/8,强烈推荐，超级刺激，值得一去。
回忆有什么用,2016/6/30,提个意见，买票的时候能不能贴张布告，说明哪个窗口是团票，哪个是美团，哪个是散客。这样会很好很方便的。
Vtq176352653,2016/6/15,第四年来这里了，感觉水没有以前干净了，不知道是不是刚下了雨的原因。总之玩的挺开心。
匿名用户,2016/5/8,很刺激 很好玩 大家都来体验吧
笑非丶300,2016/7/4,挺不错的，玩的很开心，各种设施都挺好！
AXd364571219,2016/6/21,五一的时候去的，那时候水里还有点凉不过还是很好玩下次还会去！
李展展1,2016/7/1,很好玩，还想再去！就是漂完回来好麻烦，没车
QIW562968454,2016/6/1,景色很美，瀑布壮观，很不错，值得去。就是有点晒。
匿名用户,2016/6/28,设施完善，服务周到，玩得开心！
杨张勇99,2016/6/21,位置导航就能到！玩得挺开心得！
心碎才会醉,2016/6/22,景色可以，漂流也挺给力的。推荐大家去
dlX285569861,2016/6/26,在一起时候就要！在家吃药不要让利只想！
健宝贝康,2016/6/16,服务态度还可以，当时去的是淡季，玩着不错
美丽果59,2016/6/14,真心的不错，很刺激！值得一去哦！下次我还去！
kSO863399343,2016/6/19,值得一去，豫西第一漂流当之无愧
莎莎莎莎0411,2016/6/25,完美，玩的很嗨，就是当天有点冷！
健宝贝康,2016/6/16,玩着挺刺激的，环境很好，很喜欢
NTk330304333,2016/5/28,乱收费，我们总共八个人，开始三个人进去门票收了150，后来五个同学进去，才收了155(五块钱停车费) 商家回复： 2016-05-30 你好，你们另外的五人中的两人是用的免票证件吧？进门的话是一人一张门票。每个小车停车费五元。
匿名用户,2016/5/19,五一去的1，人太多，出票速度太慢，工作人员没有效率，不过景色还好，漂流看起来不错 商家回复： 2016-05-30 感谢你的评价，我们会尽快改进售票速度，欢迎再次光临！
匿名用户,2016/5/30,地方很不错，就是换票的时候遇到了麻烦，咨询客服热线的人很好，售票处前台的工作人员真是让人无语，态度太不好了，不给兑，还是打咨询电话的人给兑的 商家回复： 2016-05-30 你好，给你带来的不便敬请谅解，我们会抓紧改进不足，期待您的再次到来！
郝汉爹,2016/5/29,挺好玩的，还准备再去一次，其实每年夏天都应该去一次。
匿名用户,2016/5/9,这是第二次去，漂流，这次朋友不要多我们玩儿的很开心，就是唯一不足的就是上来的时候路费太贵了，要是收费低的话会更好一些
enu28697432,2016/5/23,非常棒 刺激 而且漂流时间长 各种关卡 四个洞 总之很棒就是了
旧忆.城,2016/5/30,服务不错，玩的不错，景色不错！
骆晓博,2016/5/22,适合热天去，我们五一去又逢阴天，差点冻死我们！
HyB529230976,2016/5/19,还好上次出票速度很快。环境很不错。
idealisir,2016/5/17,项目挺好玩的，就是服务有待加强
Ljy116,2016/5/13,第一次去，很好玩，很刺激，漂了一个多小时。有机会还来。
uBQ840233019,2016/5/13,装备齐全 惊险刺激 豫西一趟 心情舒畅 ✌️
HyB529230976,2016/5/4,清明去玩人很少，景色还可以吧！
匿名用户,2016/5/7,有山有水、漂流一定要玩、非常好
匿名用户,2016/3/30,美团这次非常差，到景区售票处说可以在美团订票，订过后售票员又说不能用，当即退款就扣了4元，这样的美团太坑爹了吧！亲们订票都看清楚问明白在下手，我是前车之鉴，引以为戒
PHV315275981,2016/5/1,嗯嗯 不错 环境优美 空气清新
CiM800527899,2016/4/19,超级好玩、去过好几次了。感觉特别刺激、 特别有感觉。
hYJ886460817,2016/4/15,是个夏天带孩子去玩儿的好地方，真心不错，超级棒
匿名用户,2016/4/5,牛骨近乎宿舍下铺回呀一岁骨灰休息一会途锐晚自习嘻嘻嘻嘻
冬雨滴在背,2016/1/4,"夏天带着140身高的孩子和大学同学一起去的，孩子坐在两个大人中间，一艘船刚好。漂流过程非常棒，亦静亦动，亦明亦暗，有刺激，有惊喜，有欢笑，有尖叫，终于明白为什么 <span class=""feedbackmore"">限制年龄和身高，确实不是老人和小孩子能承受的了的，我们还算幸运没有翻船，但确实有船翻掉。漂流时间有1个多小时，水质还可以，有些凉，到终点之后没有坐车，再原路返回逆流而上，既能在自己漂过的路线上阴险地笑看浪花中其他漂流者的囧态，又能爬山锻炼身体，绝对酸爽，8岁的孩子都能坚持下来，所以建议大家也这样走回来，其实最关键是能省不少车票钱啊。友情提示，衣服绝壁会湿，一定要带干衣备换，手机钱包什么的趁早装到防水袋里，不需要买水枪水瓢什么的，一是没什么机会打水仗，二是小零件很容易落水，甚至包括船浆，所以多拿任何东西都是累赘。回到出发点之后可以找个农家吃饭，基本都可以在他们那里免费洗澡。过了半年才想起来评价，真有点对不起这个景点啦哈哈，给5星！ <i class=""text-icon icon-toggle-arrow"">"
一隼飘零,2016/4/3,开了三个小时的车就爬个山，真心不值
精英教育,2016/3/30,夏天很适合去玩，漂流很爽，玩的过瘾！！！
fzJ176727758,2016/3/21,爽，爽，带老婆孩子一起去的，孩子超喜欢
fzJ176727758,2016/3/21,爽，爽，带老婆孩子去的很刺激，值得一去
YGP732812483,2016/3/19,还是相当不错滴，玩的很开心，旺季人相当的多
xLR326881014,2016/3/12,比较刺激！！就是有点贵！！！假期人太多
天道酬勤,2016/3/19,还好吧 去了很多次了 漂流挺好玩的 就是去的时候有些冷 回来冻感冒了~
wkX549669226,2016/1/29,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊我擦，可以啊不错啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
kZY61791690,2016/3/5,很不错，刺激，夏天消暑娱乐的好地方
达达小狮子,2016/2/21,挺好玩的。人超多，车把门都堵死了。不过一看美团的还是硬给让出一条道让我们先进了哈哈
匿名用户,2016/2/29,感覺還以，距離有點短，完事後不能洗澡。。
乖乖乖乖女0,2016/3/19,帮姐姐买的，应该还不错，就是没有塑料袋防水
可以101,2016/3/19,取票太麻烦，等的时间太长，旺季的时候应该增加取票窗口
htn673568772,2016/3/19,好好好好 非常棒的一次出游。
露露龙猫,2016/2/13,好好玩吧，有个很长的很黑的隧道超爱☲
朝夕,2016/2/6,和妈妈一起去的，很喜欢的一次漂流，环境也还不错，有几个地方很惊险，还会再去的，
hYJ886460817,2016/3/19,大家玩儿的超级嗨皮，代朋友一起玩才有意思
hYJ886460817,2016/3/19,很不错的一次体验，朋友们玩的很开心
暗弑逆夜,2016/3/19,天阴的时候去的但还是脱了层皮，要买防水袋
匿名用户,2016/3/19,～～～～～水略微不干净～～～！
忆之初识,2016/1/21,值得推荐，挺划算的，以后去了还会团这个的
匿名用户,2016/1/11,还可以吧，去的时候人挺多的，有的服务态度不好。我觉得划不来。
jfr419306800,2016/1/14,酒店洗车尧信也不是豫西大峡谷不好玩udjdvuajagb
G1165401875,2016/1/7,挺好的，大家玩的都很开心，也很便宜，666666666666666666666666
J寶児,2015/9/24,"去的好即时，漂完了刚好下雨，中间没怎么玩，不过漂的还挺刺激的，还出了点小插曲，说团购需要提前一天预约，我是打电话提前一天预约，可是电话通了工作人员说不用预约第二 <span class=""feedbackmore"">天到直接去验证就可以了，结果第二天到了，非说要提前一天验证，怎么能这样说话不算数啊，本来大家从那么大老远跑来玩，因为这影响了心情太不值了，不过最后还是110来了才给验证了 <i class=""text-icon icon-toggle-arrow"">"
匿名用户,2016/3/19,玩的还是很开心，但是他的那个额长度不是太长，不过总体感觉还不错
lwH30903986,2016/1/4,很值得去，漂流很刺激，就是没有旅游景点
wb378064564,2015/12/23,团购很便宜！不错，玩的很过瘾，刺激！！很开心，明年再来，希望还有团购！！
Love米乐love,2015/12/28,超级好玩，值得推荐，下次还会来
Love米乐love,2016/3/19,超级好玩，值得推荐，下次还会去
qMe338385735,2016/3/19,比较嗨！玩的挺开心，强烈推荐，不错不错的
匿名用户,2016/3/19,豫西大峡谷漂流设施不错，去很多次，只要不周六周日走，就好!周六周日人太多了，就不行了！
匿名用户,2015/12/3,一家人一起去的，暑假都会去玩～刚下过雨的话建议不要去，特别是大暴雨，要过好几天一周左右沙土才能沉淀，不然水很混～
yaoliuxuge2,2015/12/22,旅游景区，没得说的，实惠好玩，跟想象的差不多
G丶,2016/3/19,不错安吉拉咯了几个会哈更会哈更艰苦痛苦啊魔都
讨厌桑拿天,2016/3/19,安全，刺激，舒服，值得去，我和朋友每年都会去哦！
稻叶洵37,2015/8/11,"第一次团景区门票，说实话还是比较方便的，到了大门口直接验证，然后给一张收据，到漂流售票处凭收据换取漂流票，不过除了漂流这里的每一项都是要另外收费的，停车费是一辆 <span class=""feedbackmore"">车10块钱，漂流时候每人要交60押金，如果用柜子一次10圆，洗澡一次10圆，座交通工具一次30圆，最后统一从押金里扣除，而且如果是周六日来还要多交40这样算下来其实比原价便宜不了几块钱，确实也没什么优惠可言。再说说漂流环境，整个漂流路线还是比较好玩的，我们是早上10点一开始就进的，所以里面人还是比较少的，也不拥挤，但是水确确实实是有点脏啊！船里面都是点树枝树叶还有乱七八糟的脏东西，希望工作人员能把船里面的脏东西清一清。 <i class=""text-icon icon-toggle-arrow"">"
匿名用户,2016/3/19,服务差，不过比我前几年去时总里程增加了好多，后面又增开了两条道
一冰二冰三冰,2016/3/19,很好 很划算 住宿的地方便宜还干净
匿名用户,2015/8/12,"豫西大峡谷漂流真值得！我们以前也有过漂流，这次是最愉快最刺激的一次。我们一行八人，10号早上八点半租了一辆面包车从三门峡直接开到大峡谷，在大门口验了票后直接进入 <span class=""feedbackmore"">漂流地，我们到的时间比较早，决定吃午饭再去漂流。我们去的66号农家，中午吃的土鸡烧土豆，还有一些炒菜，很满意，去漂流前继续在这家定了晚餐(野兔)，决定漂流后吃了晚餐再回三门峡。漂流十二点半开始，我们排队，领上装备就开漂流了。天气好，气温高，太爽了，特别是那些峡谷，那些黑洞，从未有过的体验。同时我们还省了一些钱：我们把包放在车内，每人省了10元，在66号农家冲澡，每人又省了10元，漂流结束直接从大峡谷走上来，每人又省了30元。总之，我们玩得很开心。 <i class=""text-icon icon-toggle-arrow"">"
_qqm781401190408,2015/12/14,很美，夏天去的，今年还要再去哦
小朱小王,2015/8/24,"团购的票到了大门口直接验证，然后给一张收据，只是看了付款时间，并没有看预约没有，害我晚来一天，然后到漂流售票处凭收据换取漂流票，不过除了漂流这里的每一项都是要另 <span class=""feedbackmore"">外收费的，停车费是一辆车5元（周内），漂流时候每人要交60押金，如果用柜子一次10元，洗澡一次10元，座交通工具一次30元，最后统一从押金里扣除，而且如果是周六日来还要多交40这样算下来其实比原价便宜不了几块钱，确实也没什么优惠可言。再说说漂流环境，整个漂流路线还是比较好玩的，但是感觉工作人员不是很多，很多事情都要自己完成。 <i class=""text-icon icon-toggle-arrow"">"
海之蓝wj,2015/12/4,和朋友一起去的，不错，蛮刺激的。不过有一点需要改善下，漂流完还得走回去了，这点有点不好
qq_haier2002,2015/12/5,漂流很爽，就是最后一个洞说是没水，不让漂，听说那个是最刺激的。
幸福的味道味道,2016/3/19,刺激好玩，就是星期六去的还加40元，觉得不太合理。
d464972830,2015/12/9,很好玩。很刺激，下次还要去玩。。。
匿名用户,2015/8/2,"漂流真的很爽，食宿方便实惠，配套设施科学合理，服务管理细致完美！这个夏天带上家人和亲友选择在豫西大峡谷小住几天，那必定是极好的！潭上飞珠溅玉，雾气腾腾，声响如雷 <span class=""feedbackmore"">，气势磅礴；风和日丽时节，瀑布则如白练悬空皎美绝伦。漫步风景区，只见青山如黛、幽谷叠翠、银练飞泻、野花丛生，宛如一幅山水画卷，给人以极好的视觉享受和心理享受。峡谷内几处悬崖绝壁势如刀削，两旁植被丰茂，满谷苍翠，石峰形态各异，峰峰相连如画卷，畅游期间移步换景，别具风韵。每逢云蒸雾绕之时，山峰宛如空中楼阁，点缀于缥缈云海之间。 <i class=""text-icon icon-toggle-arrow"">"
匿名用户,2015/8/2,"漂流真的很爽，食宿方便实惠，配套设施科学合理，服务管理细致完美！这个夏天带上家人和亲友选择在豫西大峡谷小住几天，那必定是极好的！潭上飞珠溅玉，雾气腾腾，声响如雷 <span class=""feedbackmore"">，气势磅礴；风和日丽时节，瀑布则如白练悬空皎美绝伦。漫步风景区，只见青山如黛、幽谷叠翠、银练飞泻、野花丛生，宛如一幅山水画卷，给人以极好的视觉享受和心理享受。峡谷内几处悬崖绝壁势如刀削，两旁植被丰茂，满谷苍翠，石峰形态各异，峰峰相连如画卷，畅游期间移步换景，别具风韵。每逢云蒸雾绕之时，山峰宛如空中楼阁，点缀于缥缈云海之间。 <i class=""text-icon icon-toggle-arrow"">"
果粒橙,2016/3/19,美太太，明年继续，有一起得小伙伴吗？
果粒橙,2016/3/19,美这呢，下次继续，希望越办越好
chD813289384,2015/11/30,很好的地方，天气热了还要再去一次
家和雨禾,2015/9/4,"青山环绕，绿水依依。天下漂流，爽在豫西！此次在销售淡季组织员工来到豫西大峡谷漂流，此前对豫西大峡谷的漂流刺激程度早有耳闻。大家都是相当的期待，亲身经历、体验之后 <span class=""feedbackmore"">更是觉得名不虚传：山青、水绿、流急、洞幽，真是不虚此行！ <i class=""text-icon icon-toggle-arrow"">"
哇，吃货,2015/11/24,好可以，很刺激，就是去的人少，要能多带点美女就爽歪歪啦
_qqvw71433517942,2016/3/19,总体来说还是不错的啦 就是水太脏了
cbG954447485,2015/11/27,工作人员态度不好。一点都不好。
难不低头穷不张口,2015/11/22,还可以…就是去的时候出了点小插曲，还行，美团还是便宜
iZv729619306,2015/8/30,"玩的真的是很爽，尽管是周五团的～当天被告知不能用～周六去时每个人又加收40元～心里有些不舒服～但玩起来真的很嗨～值的去漂～提醒大家～漂流结束后没必要花30元坐景 <span class=""feedbackmore"">区的车回来～一路走回沿途来风景非常美～就是衣服湿透不太舒服 <i class=""text-icon icon-toggle-arrow"">"
雨点儿236,2015/9/27,"特别好玩儿！和男友从北京回来玩儿的。一开始他还不信有这么好玩，上船后整个水道起伏大，很刺激，还有进山洞。比几年前长多了。有个山洞出来后我们的船头落着一只大蝴蝶， <span class=""feedbackmore"">特别漂亮。我们就这样带着它漂流完了剩下一半的路程。很惊喜。真的是天下第一漂，比北京的十渡好玩儿多了。就是农家院的住宿集体不太好，吃的也不太好。希望能尽快改进！ <i class=""text-icon icon-toggle-arrow"">"
xNm784504694,2015/11/25,不错哦，已经是第二次来了，都快四个月了，忘记评论了！
匿名用户,2015/8/24,"收费项目太多。居然还说是套票，停车费，柜子钱。淋雨费。坐车费，景区门票，（坐车上来居然敢要30，这我就疯了），哪样都得再掏钱。验票也很反锁，漂一次得验四五次票才 <span class=""feedbackmore"">能上船开始。总之种种坑爹，而且水也很脏，景区缺乏环境治理的力度。 <i class=""text-icon icon-toggle-arrow"">"
糖果初心,2015/8/21,"漂的很过瘾，很不错。在美团上很划算。超级喜欢。我们去了5⃣️️个人，两个船，真心玩的很开心。就是里面的消费有点高，买了门票，还要停车费。不过总之还是不错，需要自 <span class=""feedbackmore"">己备带一身衣服。因为全身肯定要湿透。喜欢。 <i class=""text-icon icon-toggle-arrow"">"
匿名用户,2015/8/24,"感觉一般吧，一行7个人，再带两个小孩，总共漂流了5个人，价钱稍贵，没有洗澡，因为衣柜和洗澡还要另外收费，大巴返程就那么一点路一个人30，总体来说很一般，不会介绍 <span class=""feedbackmore"">朋友去的。另外是周末去的还要再加40，这样下来和单买票便宜不了多少钱，建议如果有人去的话不要周末去。 <i class=""text-icon icon-toggle-arrow"">"
_sina28545727455,2015/11/21,设施挺好的，玩的很开心，挺好的
匿名用户,2015/9/3,"环境很好！玩得很开心！不过还是人多比较好玩！我们一共去了9个人三个船！买了瓢和水枪！玩得非常开心！浑身上下都是湿透了，穿了雨衣根本没有用、还是被淋湿透了！不过玩 <span class=""feedbackmore"">得很开心着！也很刺激！有机会的话还要去玩！ <i class=""text-icon icon-toggle-arrow"">"
IMx361358385,2015/11/19,玩的很开心，下次继续来，人多最好
_qqz4n1349191337,2015/8/21,"非常好玩，漂流很刺激，去的那天天气很好！下了高速再走30分钟就可以到景区！就是景区服务人员感觉需要再培训培训，服务意识不太好！漂流非常刺激，和女朋友都没有玩够， <span class=""feedbackmore"">最后从终点是走着回来的，也没有很远，建议大家可以走着看看环境！总体不过的一次团购！ <i class=""text-icon icon-toggle-arrow"">"
epo279764461,2015/11/13,团购比较划算，漂流真心不错，值得去
imj675006580,2015/8/7,"好玩，一家人很高兴，，很刺激，找到儿时的回忆，漂在水里的感觉，唯一就是，说有点浑，但是大家的情趣非常高，玩的非常高兴，中间服务人员也比较认真，积极帮助漂不动的橡 <span class=""feedbackmore"">皮艇顺利飘过，不认识的人也都像认识一样，相互泼水，让笑声遍布整个漂流谷 <i class=""text-icon icon-toggle-arrow"">"
voov3632,2015/8/18,"去了两次了，第一次是抱团去的，这次自驾游，比较早到，玩了滑锁，下了台阶，还吃了农家乐，人也比较少，玩起来很开心，水也挺大的，尤其是过了三个山洞好刺激啊，回来的时 <span class=""feedbackmore"">候下雨走着一路，风景很优美，还在放水前抓了一会小鱼，美翻了hello。 <i class=""text-icon icon-toggle-arrow"">"
匿名用户,2015/11/13,服务非常好！地方很美，漂流很爽
我和你001,2015/8/12,"致美团网：美团网的领导请高度重视，此次豫西大峡谷美团体验服务特别差，（不知道是不是因为是美团用户花钱少的原因）；特别是漂流售票处的服务员差到了极点，发手牌的时候 <span class=""feedbackmore"">明明是少发了一个，退押金非说是我们的责任要少退我们60元，态度极其恶劣，我们要求查现场监控被告知停电了，等1个小时来电了后告诉我们说监控没录上但是可以给我们退了！骗鬼去吧，把我们顾客当傻子吗，强烈要求那个售票员必须给我们公开道歉，该事件已经严重损害了美团的形象和美团用户的利益，望美团网领导和豫西大峡谷景区的领导高度重视此类事件，严肃处理相关的责任人，给我们美团网在老百姓心中有一个好的口碑和所有美团用户一个好的消费环境，我们将保持继续申诉的权益！ <i class=""text-icon icon-toggle-arrow"">"
Renshasha726,2015/9/19,挺不错的一次漂流。挺好玩，明年再去
匿名用户,2015/11/2,很不错，很刺激，明年还要来，就是要提前订，当天定的话，就进不去景区里面。
z66809667,2015/11/9,刺激，惊险！一次不过瘾，就是水有些脏，不过这个避免不了？
王者示范,2015/8/8,"漂流路线比较长，很刺激。感觉价位比较高，但是还算物有所值吧！就是回程还收车费有些想不通。希望去的朋友注意防晒，最好不要穿泳衣，穿休闲的长衣长裤，比较好。我穿的防 <span class=""feedbackmore"">晒衣没有晒伤，我儿子穿的短袖，回来胳膊都晒黑了。雨衣什么的就别要了，没用！ <i class=""text-icon icon-toggle-arrow"">"
老大的背带裤,2015/8/2,"非常刺激，朋友玩的很开心！会再来的！就是感觉水有点小，船一直搁浅。别的都还好，我的小盆被水冲走了，好忧伤。团购票也很划算，就是去兑换漂流小票时还需要交10元手续 <span class=""feedbackmore"">费，感觉特别不合理！别的景区团购后去换票时换的正儿八经景区门票都没有收手续费！这点希望改进！ <i class=""text-icon icon-toggle-arrow"">"
